ID,Year,Country,CBMAC,CBMMC,CBCAC,CBCMC,CBSTAC,GDP,Inflation,Interest,Exc,Unem,GDP1,Inflation1,Interest1,Exc1,Unem1,GDP2,Inflation2,Interest2,Exc2,Unem2,,,,,,,,
17,2019,Malta,0,0,2,0,0,13208.50,1.5,0.67,1,3.2,-0.667808,1.19390232,1.549872673,-0.235714,0.72310251,0.112645792,0.36363636,0.116923077,0.000844676,0.2278481,,,,,,,,
18,2019,Netherlands,7,9,2,7,0,810704.00,2.7,-0.07,1,2.4,-0.6673557,1.48785555,1.093015511,-0.235714,-0.18449263,0.110690415,0.54545455,0.142857143,0.000844676,0.18987342,,,,,,,,
19,2019,Poland,0,0,0,0,0,527033.20,2.1,2.35,4.2976,2.2,-0.6670601,-0.56981702,-0.103874739,-0.235714,0.5214147,0.107713914,0.64935065,0.196923077,0.000844676,0.17088608,,,,,,,,
20,2019,Portugal,0,0,0,0,0,181510.56,0.3,0.76,1,4.4,-0.6656887,-0.49632871,-0.270004616,-0.235714,-0.05003409,0.103973144,0.50649351,0.163076923,0.000844676,0.22151899,,,,,,,,
21,2019,Romania,0,0,1,0,0,156427.28,3.9,4.54,4.7453,3.8,-0.6571746,-0.20237549,1.009950573,-0.235714,1.76515619,0.011320858,0.53246753,0.02989011,0.003789458,0.07594937,,,,,,,,
22,2019,Slovakia,0,1,0,0,17,77604.06,2.8,0.25,1,7.4,-0.6530803,1.92878538,0.855147733,-0.235714,1.32816594,0.014431346,0.54545455,0.05010989,0.003789458,0.10759494,,,,,,,,
23,2019,Slovenia,0,0,0,0,0,48006.60,1.7,0.28,1,5.2,-0.6504602,1.26739063,0.730550325,-0.235714,0.92479032,0.013329939,0.36363636,0.081318681,0.003789458,0.14556962,,,,,,,,
24,2019,Spain ,0,0,0,0,0,1244757.00,0.8,0.66,1,9.1,-0.6483954,-0.20237549,0.352982423,-0.235714,0.58864397,0.01225402,0.03896104,0.110769231,0.003789458,0.18987342,,,,,,,,
25,2019,Sweden,6,7,0,0,0,474683.30,1.7,0.04,10.5891,5,-0.6468115,0.97343741,1.100566869,-0.235714,-0.08364873,0.011395296,0.06493506,0.12043956,0.003789458,0.25316456,,,,,,,,
26,2019,United Kingdom,1,18,2,3,5,2523313.60,1.7,0.88,0.87777,2.6,-0.6466734,0.45901926,0.352982423,-0.235714,-0.38618044,0.010578857,0,0.158241758,0.003789458,0.34177215,,,,,,,,
27,2018,Austria,10,29,2,7,0,385711.90,2.1,0.69,1,3.3,-0.6465605,0.31204265,1.100566869,-0.235714,0.18526835,0.010289953,0.25974026,0.163516484,0.003789458,0.39240506,,,,,,,,
28,2018,Belgium,8,12,7,1,0,459819.80,2.3,0.79,1,3.6,-0.6464475,-0.93725855,-0.039688195,-0.235714,0.4205708,0.010333141,0.51948052,0.208791209,0.003789458,0.36075949,,,,,,,,
29,2018,Bulgaria,7,0,0,0,0,56086.90,2.6,0.89,1.9558,3.2,-0.6458058,0.45901926,0.783409831,-0.235714,-0.21810727,0.010105418,0.64935065,0.246593407,0.003789458,0.3164557,,,,,,,,
30,2018,Croatia,4,2,0,0,0,51625.10,1.6,2.17,7.4182,4.9,-0.6454771,-1.5986533,-0.572058937,-0.235714,0.08442445,0.009169766,0.5974026,0.275164835,0.003789458,0.28481013,,,,,,,,
31,2018,Cyprus,11,4,1,1,0,"21,137.80",0.8,2.18,1,5.7,-0.6450868,-0.79028194,0.141544398,-0.235714,0.11803908,0.011454244,0.31168831,0.067692308,0.020618277,0.40506329,,,,,,,,
32,2018,Czech Republic,26,19,8,2,0,"207,570.30",2,1.98,25.647,1.5,-0.6445751,1.12041402,1.17608045,-0.2192293,0.05080981,0.013130211,0.41558442,0.106373626,0.020618893,0.21518987,,,,,,,,
33,2018,Denmark,7,4,0,0,0,"301,340.90",0.7,0.45,7.4532,3.5,-0.6435654,-1.67214161,-0.44746153,-0.235714,-0.05003409,0.012392217,0.37662338,0.132747253,0.020759077,0.3164557,,,,,,,,
34,2018,Finland,11,7,0,0,0,"234,370.00",1.2,0.66,1,4.9,-0.6435144,-0.56981702,-0.75329153,-0.235714,-0.18449263,0.011669328,0.12987013,0.164395604,0.020973512,0.37974684,,,,,,,,
35,2018,France,42,17,4,1,0,"2,353,090.00",2.1,0.78,1,5.6,-0.6419104,0.97343741,0.103787608,-0.235714,-1.05847314,0.011086358,0.16883117,0.167032967,0.021221221,0.50632911,,,,,,,,
36,2018,Germany,90,70,26,36,0,"3,344,370.00",1.9,0.4,1,2.4,-0.6416746,-1.23121177,-0.658899555,-0.235714,-0.28533653,0.010732014,0.23376623,0.189010989,0.021284997,0.5443038,,,,,,,,
37,2018,Greece,0,0,0,0,0,"184,713.60",0.8,4.19,1,11.5,-0.6405681,1.41436724,0.930661313,-0.2192293,0.21888299,0.010820053,0.50649351,0.216703297,0.021113079,0.52531646,,,,,,,,
38,2018,Hungary,1,4,0,0,0,"133,782.20",2.9,3.06,318.89,2.3,-0.6397778,-0.79028194,0.217057978,-0.2192293,0.62225861,0.010889342,0.64935065,0.28043956,0.020937773,0.48101266,,,,,,,,
39,2018,Ireland,12,23,2,0,0,"324,038.20",0.7,0.95,1,3.9,-0.6395928,0.67948418,0.605952917,-0.2192293,0.45418543,0.011137857,0.49350649,0.298461538,0.020682977,0.39873418,,,,,,,,
40,2018,Italy,36,8,6,1,0,"1,766,168.20",1.2,2.61,1,6.1,-0.6392982,1.63483216,-0.976056593,-0.235714,-0.3525658,0.011230825,0.35064935,0.287032967,0.020221141,0.32911392,,,,,,,,
41,2018,Lithuania,4,3,0,0,0,"45,264.40",2.5,0.31,1,4.3,-0.6385406,-2.26004805,0.17174983,-0.2192293,0.35334153,0.003646473,0.27272727,0.058021978,0.000844676,0.21518987,,,,,,,,
42,2018,Luxembourg,100,60,44,16,0,"60,053.10",2,0.56,1,3.6,-0.6384019,0.09157774,-0.730637456,-0.235714,-0.52063898,0.004239609,0.31168831,0.106813187,0.000844676,0.26582278,,,,,,,,
43,2018,Malta,8,2,16,0,0,"12,366.30",1.7,1.39,1,2.4,-0.6381803,1.63483216,0.009395632,-0.235714,-0.95762923,0.003919385,0.2987013,0.126153846,0.000844676,0.37341772,,,,,,,,
44,2018,Netherlands,41,120,5,92,0,"774,039.00",1.6,0.58,1,2.7,-0.6378847,-0.93725855,0.436047361,-0.1212904,1.42900984,0.003579127,0.05194805,0.176703297,0.000844676,0.44936709,,,,,,,,
45,2018,Poland,6,16,1,0,0,"496,360.90",1.2,3.2,4.2615,2.4,-0.6375076,0.60599588,0.67391514,-0.1222527,1.32816594,0.003274096,0.01298701,0.210549451,0.000844676,0.53797468,,,,,,,,
46,2018,Portugal,0,0,2,0,0,"203,896.20",1.2,1.84,1,4.7,-0.6372109,1.41436724,1.221388598,-0.1232341,1.09286349,0.003152083,0.16883117,0.274725275,0.000844676,0.60126582,,,,,,,,
47,2018,Romania,0,0,1,0,0,"204,640.50",4.1,4.69,4.654,2.5,-0.636997,1.04692571,-0.40592906,-0.235714,-0.89039996,0.003323117,0.25974026,0.296703297,0.000844676,0.58227848,,,,,,,,
48,2018,Slovakia,5,14,0,0,0,"89,721.00",2.5,0.89,1,4.2,-0.6363672,-1.30470008,0.24726341,-0.1216474,1.22732203,0.003735754,0.54545455,0.213186813,0.000844676,0.17721519,,,,,,,,
49,2018,Slovenia,0,0,0,0,0,"45,754.80",1.9,0.93,1,3.4,-0.6361466,0.53250757,1.376191438,-0.1246604,0.65587324,0.003744736,0.61038961,0.318681319,0.000844676,0.41139241,,,,,,,,
50,2018,Spain ,0,15,0,0,0,"1,202,193.00",1.7,1.42,1,9.9,-0.6357485,-0.27586379,1.278023783,-0.1272458,0.28611226,0.003850359,0.66233766,0.265494505,0.000844676,0.24050633,,,,,,,,
51,2018,Sweden,12,13,0,0,0,"471,207.20",2,0.65,10.2583,4.6,-0.6355579,0.75297249,-0.976056593,-0.235714,-0.52063898,0.047997966,0.54545455,0.079120879,0.076851959,0.12025316,,,,,,,,
52,2018,United Kingdom,64,77,1,1,0,"2,423,736.60",2.3,1.41,0.88471,2.8,-0.6353629,0.75297249,-0.930748444,-0.2192293,-1.05847314,0.058606414,0.46753247,0.098021978,0.076781097,0,,,,,,,,
53,2017,Austria,23,60,4,6,0,"370,295.80",2.2,0.58,1,3.7,-0.6350441,-1.89260652,-0.152958566,-0.2192293,-0.11726336,0.053984729,0.51948052,0.054065934,0.078873069,0.02531646,,,,,,,,
54,2017,Belgium,21,12,19,0,0,"446,364.90",2.2,0.72,1,4.2,-0.6349455,0.31204265,-0.741964493,-0.235714,-0.82317069,0.049507919,0.28571429,0.02989011,0.081054388,0.06962025,,,,,,,,
55,2017,Bulgaria,2,0,0,0,0,"52,310.00",1.2,1.6,1.9558,3.8,-0.6347917,-0.49632871,-0.606040048,-0.1250226,0.68948787,0.047205081,0.24675325,0.036483516,0.081809224,0.11392405,,,,,,,,
56,2017,Croatia,9,2,0,0,0,"49,094.40",1.3,2.77,7.4637,6.5,-0.6340153,0.16506604,-0.394602023,-0.235714,-0.72232679,0.043760127,0.25974026,0.08043956,0.08260103,0.15189873,,,,,,,,
57,2017,Cyprus,18,17,7,2,0,"20,039.70",0.7,2.62,1,7.4,-0.6338706,-1.52516499,0.224609336,-0.123034,0.55502934,0.04407554,0.38961039,0.103736264,0.077807056,0.18987342,,,,,,,,
58,2017,Czech Republic,18,11,5,2,0,"191,721.80",2.4,0.98,26.326,1.9,-0.6321333,0.16506604,-0.98738363,-0.235714,-0.21810727,0.043777099,0.36363636,0.181538462,0.075662708,0.19620253,,,,,,,,
59,2017,Denmark,11,6,0,3,0,"292,408.00",1.1,0.48,7.4386,4,-0.6317179,0.53250757,-0.976056593,-0.235714,0.28611226,0.045152392,0.66233766,0.133186813,0.075246779,0.1835443,,,,,,,,
60,2017,Finland,10,6,0,0,0,"225,836.00",0.8,0.55,1,5.7,-0.6313666,-2.03958314,-0.236023504,-0.2192293,-0.45340971,0.045912403,0.49350649,0.174065934,0.073524522,0.17088608,,,,,,,,
61,2017,France,35,16,7,0,0,"2,295,063.00",1.2,0.81,1,5.8,-0.6307748,-0.12888718,-0.047239553,-0.1242344,0.21888299,0.088644436,0.2987013,0.003076923,0.020766471,0.19620253,,,,,,,,
62,2017,Germany,98,112,33,32,0,"3,244,990.00",1.7,0.32,1,2.6,-0.6299797,0.09157774,-1.13841079,-0.235714,-0.72232679,0.085951474,0.2987013,0.030769231,0.020726727,0.12658228,,,,,,,,
63,2017,Greece,0,0,0,0,0,"180,217.60",1.1,5.98,1,12.8,-0.629863,-0.56981702,-0.587161653,-0.235714,-0.72232679,0.083346493,0.35064935,0.032087912,0.020681745,0.15822785,,,,,,,,
64,2017,Hungary,1,10,0,0,0,"125,603.10",2.4,2.96,309.19,2.6,-0.6276143,0.09157774,-0.273780295,-0.1250192,-0.31895117,0.080634954,0.20779221,0.025054945,0.020702079,0.16455696,,,,,,,,
65,2017,Ireland,9,12,0,0,0,"297,130.80",0.3,0.8,1,4.5,-0.6270639,-1.01074685,-0.953402518,-0.235714,-0.52063898,0.077691931,0.23376623,0.041318681,0.020743672,0.17088608,,,,,,,,
66,2017,Italy,20,15,23,2,0,"1,736,592.80",1.3,2.11,1,6.4,-0.6267589,-0.20237549,-0.488993999,-0.2192293,-0.68871215,0.07557462,0.25974026,0.069010989,0.020731657,0.20253165,,,,,,,,
67,2017,Lithuania,2,0,0,0,0,"42,269.40",3.7,0.31,1,4.8,-0.6235653,-1.08423516,-0.998710667,-0.235714,-0.62148288,0.073529133,0.27272727,0.087912088,0.020741207,0.22151899,,,,,,,,
68,2017,Luxembourg,114,70,34,79,0,"56,814.20",2.1,0.54,1,3.5,-0.6220421,0.82646079,-0.757067209,-0.2192293,-0.89039996,0.072314638,0.51948052,0.072527473,0.020697458,0.24050633,,,,,,,,
69,2017,Malta,0,8,4,0,0,"11,284.40",1.3,1.28,1,2.5,-0.6211338,0.45901926,-0.889215975,-0.235714,-0.78955606,0.070361361,0.55844156,0.130989011,0.020718716,0.24683544,,,,,,,,
70,2017,Netherlands,65,90,5,27,0,"738,146.00",1.3,0.52,1,3.4,-0.6170889,0.38553096,-0.881664617,-0.235714,-0.75594142,0.068986535,0.49350649,0.13978022,0.020708549,0.24683544,,,,,,,,
71,2017,Poland,9,16,0,0,0,"467,312.90",1.6,3.42,4.257,3,-0.6070481,-0.56981702,0.368085139,-0.235714,1.09286349,0.059234113,0.35064935,0.014065934,0.000844676,0.25316456,,,,,,,,
72,2017,Portugal,3,2,0,0,0,"195,947.20",1.6,3.05,1,5.9,-0.6031499,1.92878538,0.587074522,-0.235714,0.92479032,0.06642165,0.36363636,0.04,0.000844676,0.21518987,,,,,,,,
73,2017,Romania,1,1,0,0,0,"187,772.70",1.1,3.96,4.5688,3,-0.6003158,1.63483216,0.624831312,-0.235714,0.99201959,0.063932995,0.31168831,0.035164835,0.000844676,0.26582278,,,,,,,,
74,2017,Slovakia,5,8,0,0,0,"84,517.00",1.4,0.92,1,5.2,-0.599228,0.01808943,0.111338966,-0.235714,1.05924886,0.061507328,0.25974026,0.027252747,0.000844676,0.2721519,,,,,,,,
75,2017,Slovenia,2,0,0,0,0,"42,987.10",1.6,0.96,1,4.3,-0.5968538,-1.15772347,-0.311537085,-0.235714,0.85756105,0.059718844,0.18181818,0.042637363,0.000844676,0.29746835,,,,,,,,
76,2017,Spain ,0,0,0,0,0,"1,161,878.00",2,1.56,1,11.2,-0.5951701,0.97343741,-0.998710667,-0.235714,0.5214147,0.058410069,0.36363636,0.074725275,0.000844676,0.26582278,,,,,,,,
77,2017,Sweden,9,12,0,0,0,"479,605.40",1.9,0.65,9.6351,4.9,-0.5924799,-1.30470008,-0.757067209,-0.235714,0.48780007,0.057658864,0.49350649,0.092747253,0.000844676,0.24683544,,,,,,,,
78,2017,United Kingdom,23,36,6,0,0,"2,363,109.30",2.6,1.18,0.87667,3,-0.5908811,-1.45167669,-0.889215975,-0.235714,0.11803908,0.056701196,0.62337662,0.094065934,0.000844676,0.2278481,,,,,,,,
79,2016,Austria,23,35,1,1,0,"357,299.70",1,0.38,1,4.1,-0.5865368,-0.05539888,-0.745740172,-0.235714,-0.21810727,0.055814973,0.63636364,0.143296703,0.000844676,0.23417722,,,,,,,,
80,2016,Belgium,11,15,0,0,0,"430,372.10",1.8,0.48,1,4.7,-0.5800378,0.75297249,-0.757067209,-0.235714,-0.55425361,0.052941092,0.42857143,0.143296703,0.000844676,0.25949367,,,,,,,,
81,2016,Bulgaria,0,0,0,0,0,"48,620.50",-1.3,2.27,1.9558,4.5,-0.5684661,2.36971522,1.655591685,4.4982499,0.08442445,0.703495068,0.37662338,0.016703297,0.000844676,0.23417722,,,,,,,,
82,2016,Croatia,1,8,0,0,0,"46,615.50",-0.6,3.49,7.5333,7.5,-0.5675334,3.10459828,1.885908106,4.7357415,0.11803908,0.684275495,0.48051948,0.045274725,0.000844676,0.25949367,,,,,,,,
83,2016,Cyprus,7,12,2,0,0,"18,872.90",-1.2,3.77,1,8.6,-0.5652616,1.78180877,1.787740451,4.5653409,0.08442445,0.667353861,0.36363636,0.046593407,0.000844676,0.2721519,,,,,,,,
84,2016,Czech Republic,15,10,1,1,0,"176,370.10",0.6,0.43,27.034,2.6,-0.5646626,0.16506604,1.142099338,4.8671639,-0.01641946,0.649584497,0.24675325,0.031648352,0.000844676,0.30379747,,,,,,,,
85,2016,Denmark,1,18,0,5,0,"283,109.70",0,0.32,7.4452,4.1,-0.5598251,-1.08423516,0.722998967,5.0713687,-0.45340971,0.639174661,0.22077922,0.047912088,0.000844676,0.3164557,,,,,,,,
86,2016,Finland,21,2,0,0,0,"217,518.00",0.4,0.37,1,5.8,-0.5519517,-1.01074685,0.201955262,5.0936173,-0.58786825,0.624982558,0.28571429,0.084395604,0.000844676,0.31012658,,,,,,,,
87,2016,France,29,21,0,4,0,"2,234,129.00",0.3,0.47,1,6.3,-0.5481441,-0.79028194,0.09246057,5.118453,-0.9240146,0.615482857,0.33766234,0.107692308,0.000844676,0.30379747,,,,,,,,
88,2016,Germany,76,73,28,13,0,"3,134,100.00",0.4,0.09,1,2.9,-0.5354686,3.3985515,1.678245759,-0.1803131,-0.55425361,0.60720532,0.49350649,0.122637363,0.000844676,0.27848101,,,,,,,,
89,2016,Greece,0,0,0,0,0,"176,487.90",0,8.36,1,14.1,-0.535226,0.67948418,0.024498348,5.0796472,-1.09208777,0.59832997,0.50649351,0.156923077,0.000844676,0.25316456,,,,,,,,
90,2016,Hungary,2,5,0,0,0,"115,259.20",0.4,3.14,311.44,3.1,-0.5273303,3.17808658,1.659367364,-0.1798492,-0.55425361,0.579934797,0.42857143,0.148131868,0.000844676,0.25949367,,,,,,,,
91,2016,Ireland,10,8,0,0,0,"271,683.60",-0.2,0.74,1,5.6,-0.5258046,1.41436724,1.429050944,-0.1760514,-0.58786825,1,0.38961039,0,0.000844676,0.12025316,,,,,,,,
92,2016,Italy,38,29,1,0,0,"1,695,786.80",-0.1,1.49,1,6.6,-0.5250114,1.04692571,0.062255138,5.2469434,-1.19293167,0.973349162,0.45454545,0.028571429,0.000844676,0.05696203,,,,,,,,
93,2016,Lithuania,0,1,0,0,0,"38,893.40",0.7,0.9,1,5.3,-0.5124986,1.26739063,0.949539708,-0.17674645,-0.55425361,9.44E-01,0.42857143,0.025054945,0.000844676,0.06962025,,,,,,,,
94,2016,Luxembourg,62,43,12,15,0,"54,867.20",0,0.25,1,4,-0.5124676,1.41436724,-0.160509924,5.35749683,-0.45340971,9.12E-01,0.25974026,0.014945055,0.000844676,0.08860759,,,,,,,,
95,2016,Malta,3,4,1,2,0,"10,338.90",0.9,0.89,1,2.9,-0.5041856,-0.05539888,0.602177238,-0.17632045,-0.58786825,8.82E-01,0.2987013,0.032967033,0.000844676,0.10759494,,,,,,,,
96,2016,Netherlands,61,81,1,7,0,"708,337.00",0.1,0.29,1,4.2,-0.4967308,1.78180877,0.621055633,-0.17111875,-0.68871215,8.52E-01,0.31168831,0.061978022,0.000844676,0.12025316,,,,,,,,
97,2016,Poland,9,22,0,0,0,"426,555.70",-0.2,3.04,4.3632,3.8,-0.4964402,-0.79028194,-0.496545357,0.22195307,-0.65509752,8.18E-01,0.41558442,0.08,0.000844676,0.13291139,,,,,,,,
98,2016,Portugal,0,2,0,0,0,"186,489.80",0.6,3.17,1,7.3,-0.4963675,-0.20237549,0.371860818,0.18311276,-0.41979507,7.99E-01,0.49350649,0.076923077,0.000844676,0.13291139,,,,,,,,
99,2016,Romania,1,0,0,0,0,"170,393.60",-1.1,3.32,4.4904,3.5,-0.4950894,-0.05539888,-0.296434369,0.1951167,-0.45340971,7.84E-01,0.53246753,0.125714286,0.000844676,0.15189873,,,,,,,,
100,2016,Slovakia,3,10,0,0,0,"81,038.40",-0.5,0.54,1,6.2,-0.4918971,-1.37818838,0.217057978,-0.17629113,-0.58786825,7.46E-01,0.35064935,0.131428571,0.000844676,0.19620253,,,,,,,,
101,2016,Slovenia,1,1,0,0,0,"40,366.60",-0.2,1.15,1,5,-0.4904778,1.48785555,-0.043463874,0.18078442,-0.48702434,5.32E-02,0.27272727,0.124835165,0.000844676,0.73417722,,,,,,,,
102,2016,Spain ,0,0,0,0,0,"1,113,840.00",-0.3,1.39,1,12.8,-0.487223,0.53250757,0.307674275,0.17114333,-0.55425361,5.19E-02,0.31168831,0.195164835,0.000844676,0.63291139,,,,,,,,
103,2016,Sweden,12,19,0,0,0,"466,347.60",1.1,0.54,9.4689,5,-0.4826124,-2.26004805,1.074137116,-0.23571404,1.2945513,5.06E-02,0.35064935,0.273846154,0.000844676,0.71518987,,,,,,,,
104,2016,United Kingdom,26,25,6,0,0,"2,435,055.20",1.0,1.22,0.81948,3.3,-0.4819089,0.97343741,2.890238725,-0.23571404,1.56346838,4.95E-02,0.20779221,0.378461538,0.000844676,0.79746835,,,,,,,,
105,2015,Austria,24,34,2,2,0,"344,269.20",0.8,0.75,1,3.8,-0.481687,-0.86377024,-0.874113259,0.21752058,-0.85678533,4.98E-02,0.06493506,0.436043956,0.000844676,0.84177215,,,,,,,,
106,2015,Belgium,13,17,2,0,0,"416,701.40",0.6,0.84,1,5.1,-0.4792888,-1.89260652,0.160422793,-0.17551502,-0.78955606,5.02E-02,0.02597403,0.315604396,0.000844676,0.89873418,,,,,,,,
107,2015,Bulgaria,0,0,0,0,0,"45,675.80",-1.1,2.49,1.9558,5.5,-0.4791656,-0.79028194,1.281799462,-0.23571404,1.66431228,5.08E-02,0.09090909,0.452747253,0.000844676,0.93670886,,,,,,,,
108,2015,Croatia,1,2,0,0,0,"44,616.40",-0.3,3.55,7.6137,9.5,-0.4787476,-0.20237549,2.531549218,-0.23571404,1.46262448,5.38E-02,0.33766234,1,0.000844676,0.82278481,,,,,,,,
109,2015,Cyprus,8,4,0,0,0,"17,826.90",-1.5,4.54,1,10,-0.4782915,0.82646079,-0.507872394,0.18977012,-0.82317069,5.84E-02,0.61038961,0.703296703,0.000844676,0.57594937,,,,,,,,
110,2015,Czech Republic,15,13,1,5,0,"168,473.30",0.3,0.58,27.279,3.3,-0.4759667,-1.23121177,0.322776991,-0.23571404,1.12647813,6.40E-02,0.81818182,0.410549451,0.000844676,0.38607595,,,,,,,,
111,2015,Denmark,6,5,0,1,0,"273,017.60",0.2,0.69,7.4587,4.2,-0.4733916,0.31204265,1.236491314,-0.23571404,1.46262448,4.00E-02,0.64935065,0.11956044,1,0.18987342,,,,,,,,
112,2015,Finland,17,3,0,0,0,"211,385.00",-0.2,0.72,1,6.2,-0.4721671,1.56134385,2.773192676,-0.23571404,0.92479032,3.71E-02,0.58441558,0.145494505,0.980251046,0.05063291,,,,,,,,
113,2015,France,16,24,0,3,0,"2,198,432.00",0.1,0.84,1,6.5,-0.471825,-0.64330532,-0.930748444,0.21329506,-1.09208777,3.47E-02,0.51948052,0.141098901,0.950365735,0.06962025,,,,,,,,
114,2015,Germany,39,41,27,5,0,"3,030,070.00",0.7,0.5,1,3.2,-0.4716779,-1.08423516,2.06336502,-0.23571404,2.77359523,3.17E-02,0.25974026,0.149010989,0.957297895,0.10126582,,,,,,,,
115,2015,Greece,0,1,0,0,0,"177,258.40",-1.1,9.67,1,14.8,-0.4707156,-1.89260652,2.557978971,-0.23571404,3.00889768,3.08E-02,0.22077922,0.161758242,0.952861312,0.16455696,,,,,,,,
116,2015,Hungary,0,4,0,0,0,"112,210.30",0.1,3.43,310,4.1,-0.4689696,-2.11307144,1.52344292,-0.23571404,3.31142939,2.90E-02,0.20779221,0.222417582,0.948886874,0.18987342,,,,,,,,
117,2015,Ireland,9,4,0,0,0,"262,833.40",0,1.18,1,6.6,-0.4677778,-0.05539888,0.945764029,-0.23571404,0.72310251,2.78E-02,0.42857143,0.271208791,0.912408308,0.2721519,,,,,,,,
118,2015,Italy,36,38,2,0,0,"1,655,355.00",0.1,1.71,1,6.7,-0.4677148,-0.71679363,0.337879707,-0.23571404,1.09286349,2.72E-02,0.94805195,0.357802198,0.888931392,0.29746835,,,,,,,,
119,2015,Lithuania,3,8,0,0,0,"37,321.80",-0.7,1.38,1,6.1,-0.4676499,-0.71679363,-0.179388319,-0.23571404,0.82394641,2.77E-02,0.71428571,0.346373626,0.858491508,0.29113924,,,,,,,,
120,2015,Luxembourg,30,31,11,20,0,"52,065.80",0.1,0.37,1,4.3,-0.46702,-0.27586379,1.164753413,-0.23571404,2.33660498,2.69E-02,0.81818182,0.330989011,0.846506573,0.29113924,,,,,,,,
121,2015,Malta,2,1,1,0,0,"9,628.00",1.2,1.49,1,3.2,-0.4664746,-1.74562991,2.701454774,-0.23571404,3.5131172,6.43E-02,0.32467532,0.025494505,0.000844676,0.11392405,,,,,,,,
122,2015,Netherlands,48,44,0,15,0,"690,008.00",0.2,0.69,1,4.8,-0.4654053,-0.86377024,-0.806151037,-0.23571404,-0.48702434,9.26E-02,0.2987013,0.052747253,0.000844676,0.15189873,,,,,,,,
